STT,Hoat_dong,Link_drive
1,Lên rừng hái nấm vào đầu mùa mưa,Lên rừng hái nấm vào đầu mùa mưa
2,Trekking thác 7 tầng cực đã,Trekking thác 7 tầng cực đã
3,Chèo sup Hồ Tuyền Lâm,Chèo sup Hồ Tuyền Lâm
4,Đạp vịt Hồ Xuân Hương,Đạp vịt Hồ Xuân Hương
5,Ngắm hoàng hôn Xóm Lèo,Ngắm hoàng hôn Xóm Lèo
6,Camping và săn mây Cầu Đất,Camping và săn mây Cầu Đất
7,Trekking đỉnh Lang Biang hùng vĩ,Trekking đỉnh Lang Biang hùng vĩ
8,"Chèo sup và săn sương, săn ảnh đẹp Suối Tía","Chèo sup và săn sương, săn ảnh đẹp Suối Tía"
9,Đi dạo quanh Hồ Xuân Hương,Đi dạo quanh Hồ Xuân Hương
10,"""Đi chill"" tại các quán cà phê trong rừng","""Đi chill"" tại các quán cà phê trong rừng"
11,Thăm Nhà thờ Con Gà & Trường Cao đẳng Sư phạm,Thăm Nhà thờ Con Gà & Trường Cao đẳng Sư phạm
12,"Cắm trại qua đêm trên đồi: Đa Phú, Ngô Quyền, Thiên Phúc Đức","Cắm trại qua đêm trên đồi: Đa Phú, Ngô Quyền, Thiên Phúc Đức"
13,"Lái xe qua đèo Prenn, đèo Mimosa hoặc đèo Tà Nung","Lái xe qua đèo Prenn, đèo Mimosa hoặc đèo Tà Nung"
14,Chơi zipline vượt Thác Datanla,Chơi zipline vượt Thác Datanla
15,Khám phá Thác Hang Cọp hoặc Thác Pongour,Khám phá Thác Hang Cọp hoặc Thác Pongour
16,Thăm các nông trại canh tác theo hướng tự nhiên như Đà Lạt Milk Farm,Thăm các nông trại canh tác theo hướng tự nhiên như Đà Lạt Milk Farm
17,Hái dâu và thưởng thức trực tiếp tại vườn dâu,Hái dâu và thưởng thức trực tiếp tại vườn dâu
18,Tìm về các con suối nhỏ tại khu vực Suối Vàng,Tìm về các con suối nhỏ tại khu vực Suối Vàng
19,Đi dạo và thưởng thức ẩm thực chợ Đêm Đà Lạt,Đi dạo và thưởng thức ẩm thực chợ Đêm Đà Lạt
20,Trải nghiệm vượt rừng thông đến cây Thông Cô Đơn,Trải nghiệm vượt rừng thông đến cây Thông Cô Đơn
